Cantidad de simbolos = 4153
Longitud media = 9.394061652902844
Rendimiento = 0.9912673261159609
Redundancia = 0.008732673884039088

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
aquellas				101110001111
Los				1011100100000
mujeres				1011100100001
dice				101110010001
fuerza;				1011100100100
Anselmo,				1011100100101
Anselmo.				101110010011
hábito				1011100101000
llevado				1011100101001
Dios,				101110010101
dicen				101110010110
ello				101110010111
sucesos				1011100110000
esposo				1011100110001
dije				101110011001
testigos				101110011010
pensar				101110011011
partes,				1011100111000
pero,				1011100111001
lleno				101110011101
pude				101110011110
barbero,				101110011111
noble				1011101000000
sean				1011101000001
sí,				101110100001
vestido,				1011101000100
venia				1011101000101
tenido				101110100011
cabecera				1011101001000
dellos				1011101001001
Lotario,				101110100101
curioso				101110100110
viaje				101110100111
sepa				1011101010000
soldado,				1011101010001
término				101110101001
hallaron				101110101010
buenas				101110101011
lado				1011101011000
veamos				1011101011001
parecer				101110101101
cierto,				101110101110
Triste				101110101111
-Ahora				1011101100000
poder,				1011101100001
perdido				101110110001
guerra,				101110110010
bueno				101110110011
suelen				1011101101000
tronco				1011101101001
diciéndole				101110110101
año				101110110110
ciudad				101110110111
abrazó				1011101110000
mujer,				1011101110001
adelante				101110111001
campaña				101110111010
tras				101110111011
nosotros				1011101111000
suelo,				1011101111001
forzoso				101110111101
tierra.				101110111110
contó				101110111111
caballeros,				1011110000000
estuvo				1011110000001
nunca				101111000001
pueden				1011110000100
finalmente,				1011110000101
triste				101111000011
encaminar				1011110001000
espíritu				1011110001001
hallar				101111000101
hora				101111000110
haría				101111000111
vida;				1011110010000
trata				1011110010001
monesterio				101111001001
respeto,				101111001010
lágrimas				101111001011
conocido				1011110011000
Dorotea.				1011110011001
cama,				101111001101
embozo,				101111001110
consigo				101111001111
mercedes				1011110100000
libertad,				1011110100001
determinación				101111010001
verdadera				101111010010
pone				101111010011
dineros,				1011110101000
dineros				1011110101001
Estas				101111010101
espacio				101111010110
-replicó				101111010111
gigante;				1011110110000
echó				1011110110001
deshonra,				101111011001
pueda				101111011010
mostraba				101111011011
boca				1011110111000
nobleza				1011110111001
escrito				101111011101
modo				101111011110
debajo				101111011111
caballo,				1011111000000
menoscabo				1011111000001
compañía				101111100001
testigo				1011111000100
Preguntó				1011111000101
Por				101111100011
claramente				1011111001000
antes,				1011111001001
cama				101111100101
-Bien				101111100110
sintió				101111100111
prosiguió				1011111010000
parte,				1011111010001
decía,				101111101001
tanta,				101111101010
mora				101111101011
vine				1011111011000
sal				1011111011001
mismo				101111101101
ganado				101111101110
diciéndole:				101111101111
Quijote-,				1011111100000
adelante,				1011111100001
promesas				101111110001
presteza				101111110010
dejado				101111110011
lastimada				1011111101000
