Cantidad de simbolos = 4153
Longitud media = 9.339847443736884
Rendimiento = 0.9970212503081027
Redundancia = 0.0029787496918972645

Diccionario de Codificación por Huffman

SIMBOLO				CODIFICACION
hijo				001100001001
Gran				000001011111
Que				000001011100
reino				001101011111
entender				000111100010
-preguntó				001101011101
natural				001101011100
sí				001100001010
abrazada				001011101010
miró				001010000000
estimar				001011011101
criados				001011101011
leer				001101110011
vivos				001010000011
viene				001101110010
muerte;				1010000100100
volvió				1001010010100
esposa,				1000111011100
entendió				1010011010010
cayó				1011101111101
Fernando-,				0111111110110
ventana				0111111110111
haberla				1000111011110
Alicante,				1011001111000
comparación,				1011101100001
alma.				1000111011010
alma;				1000101101000
satisfecho				1001100110110
advirtiese				0111111010000
sano				1001100111101
entonces,				1010111000001
tuve				1001110011101
regalo				0111110001101
durmiendo				1000101101001
aquí,				1001100000001
ellas,				1011100001010
mañana,				1011100011100
gravedad				1001110000000
diré				1011110101001
presto				1000101110000
anda				1010011100011
venturoso				1010010110010
lado,				1011101001001
llamada				1011011111001
solo,				1000001001110
parió,				1000001001100
Pues				1001010000011
quise				1000001010111
honestidad,				1010011100010
llevados				1100000101110
raras				1000101110011
haya				1001011001101
generoso				1001110000011
desierta				1000011011001
haría.				1000101101011
mano,				1000011011000
esposo,				1001101101001
preguntó				1001010011011
mejores				1001100111110
casado				1010101101001
puerto				1001000011001
ciudades,				1000111011001
quedaré				1010010001100
principio				1000111000100
puerta				1001000010110
descubrió				1011001111001
tío				1011010100110
heridos,				1000101010101
comenzado				1100001110010
quedarse				1011101111110
aposento;				1000000111111
alcanzaba				1000111010010
solas				1000110000111
esperanzas				1100010010111
San				1100000110000
Perdióse				1000101000100
profundo				1001111110001
azul,				1001111110000
podrán				1000110000101
hablo				1011011000100
opinión				1000001111101
desventura;				1000110010010
Cardenio.				1011010010000
incomparable				1010101100111
hambre,				1001111000110
laberinto				1010101010101
paz,				1001100101000
hacer,				1000100011110
ello,				1010101001010
Uchalí				1010101010110
pecho.				1010101010011
Aguilar,				0111110100001
Viendo				0111110100000
decirle,				1010000101001
seguro				1000000100011
saber,				1001010101101
segura				1011100101011
encantamento,				1000001110001
Fernando;				1011010101101
quisiste				1000110001111
contento				1001111011111
padres,				1001111011110
Porque				1000010100101
entretanto				1010100100111
cuchillada				1001111101010
igualar				1010100100100
saben				1001111101001
traído				1000111001101
suspirar				1000101101100
suerte,				1001010110100
tinto,				1011111000000
veces.				1011010000001
fuese.				1100000011101
objeto				1010100000111
fuese,				0111101010100
volver				1000001010001
ilustre				1010110001111
quitase				0111111001001
desgracia				0110111110001
Santa				0110111110000
repúblicas,				1010000011101
discreta				1010001001110
pasó				0111111000000
eso,				1001101010100
premiar				1000110000001
silla,				1001100010101
deshacer				1000001011111
Argel,				1000001011010
monja,				1010111010110
quiera				1011100111000
podido				0111111101010
¿qué				1000001101001
Muley				1010111101000
rogaron				1001010000110
gusto				1011000011100
cubrir				1011000011101
franco,				1011010110010
bien,				1001000111100
vea				1011001111101
tomar				0111111100100
ven				1000000011100
preguntar				1000100111000
inauditas				0111101000111
grave				1010011011001
aguarda,				1000110111100
vivía				1001000101100
calidad				1000011010001
temeroso				1100000010101
elegir				1000110010101
pasada				1010010110101
cristiano,				1000101011001
sustentar				1000101011000
vista				1001101000001
hacerme				1001101000010
estuviese				0111110000100
debía				1100001001100
sonetos				1001111110010
descuido				1010001111111
derramar				0111110111101
De				1001111001100
cruel				1001001010001
vengarse				1010010011101
cola,				1011110011000
(porque				1001001010010
prerrogativa				1001011010100
vosotros				0111110110111
agua				1010001110001
justamente				1010001110100
es,				1000100000011
premio				1011110010101
es?				1001001001110
honra				1001001001111
quieres				1000011110001
esa				1011010011110
ese				1010111110100
Zoraida.				1001000000110
Zoraida;				1100001010011
luengos				1000110110111
barba				1001000011111
cuero				1001000011101
jornadas				1100000111010
Digo,				1000110110101
estima				1010111000111
amigo,				1000101011110
trataba,				0111111100000
quieras				1001001101010
jornada,				1000010111011
mayores				1011101100110
hablando				1100000000110
¿Qué				1011011101100
pareció				1010100110010
asimismo				1010100110011
suma				1000110111010
movió				0111111001101
tenían.				1001000111000
acaso,				1010100100010
galas				1011100010100
puestas				1010010000000
trincheas				1011000011110
sollozos				1010101000100
Así				0111101111101
descuido;				1000110001010
presentes				0111101111110
abrió				1001011011110
fuerzas				1011101111010
procurar				1010011101100
culpa				1000010011000
volviendo				1100001011111
deseaba;				1010011011100
gana				1011000101110
voces				0111101101000
desnudez,				1000101111011
vista,				0110111110011
hecho.				1011111011110
siendo				0111101101111
