Cantidad de simbolos = 4153
Longitud media = 9.355229149593251
Rendimiento = 0.9953819652238401
Redundancia = 0.004618034776159852

Diccionario de Codificación por Shannon-Fano

SIMBOLO				CODIFICACION
suceso				101101001101
especialmente				101101001110
tenía,				101101001111
hija				101101010000
pobre				101101010001
padre,				101101010010
estando				101101010011
verá				101101010100
amor				101101010101
palabras				101101010110
verdad,				101101010111
soldados				101101011000
ciudad,				101101011001
guarda				101101011010
ventaja				101101011011
haberle				1011010111000
alárabes				1011010111001
suele				101101011101
Dijo				101101011110
conservar				101101011111
famosa				1011011000000
dijo,				1011011000001
llamado				101101100001
era,				1011011000100
razones,				1011011000101
señores,				101101100011
-Pues				1011011001000
seguir				1011011001001
cosa,				101101100101
esposo.				101101100110
Sancho-,				101101100111
estaban,				1011011010000
pérdida				1011011010001
hiciese;				101101101001
letrado				101101101010
corta				101101101011
otro,				1011011011000
mil,				1011011011001
paso				101101101101
daré				101101101110
tres,				101101101111
cuesta				1011011100000
pecho,				1011011100001
camino,				101101110001
pusieron				101101110010
dejando				101101110011
mar				1011011101000
todavía				1011011101001
cubierto				101101110101
mi,				101101110110
cuchilladas				101101110111
tiempo,				1011011110000
dé				1011011110001
mar,				101101111001
caminos				101101111010
condado				101101111011
diciendo:				1011011111000
aliento				1011011111001
entonces				101101111101
cuyo				101101111110
enemigos				101101111111
daba,				1011100000000
mostró				1011100000001
estoy				101110000001
cristianos				1011100000100
acabó				1011100000101
estuviera				101110000011
hallaba				1011100001000
mozos				1011100001001
hallado				101110000101
pagar				101110000110
valer				101110000111
ojos,				1011100010000
cuerpo				1011100010001
ventera,				101110001001
eso				101110001010
lejos				101110001011
Lo				1011100011000
merced,				1011100011001
grandes				101110001101
respondió:				101110001110
alguna,				101110001111
rodillas				1011100100000
veinte				1011100100001
doncella				101110010001
aquellas				1011100100100
Los				1011100100101
mujeres				101110010011
dice				1011100101000
fuerza;				1011100101001
Anselmo,				101110010101
Anselmo.				101110010110
hábito				101110010111
llevado				1011100110000
Dios,				1011100110001
dicen				101110011001
ello				101110011010
sucesos				101110011011
esposo				1011100111000
dije				1011100111001
testigos				101110011101
pensar				101110011110
partes,				101110011111
pero,				1011101000000
lleno				1011101000001
pude				101110100001
barbero,				1011101000100
noble				1011101000101
sean				101110100011
sí,				1011101001000
vestido,				1011101001001
venia				101110100101
tenido				101110100110
cabecera				101110100111
dellos				1011101010000
Lotario,				1011101010001
curioso				101110101001
viaje				101110101010
sepa				101110101011
soldado,				1011101011000
término				1011101011001
hallaron				101110101101
buenas				101110101110
lado				101110101111
veamos				1011101100000
parecer				1011101100001
cierto,				101110110001
Triste				101110110010
-Ahora				101110110011
poder,				1011101101000
perdido				1011101101001
guerra,				101110110101
bueno				101110110110
suelen				101110110111
tronco				1011101110000
diciéndole				1011101110001
año				101110111001
ciudad				101110111010
abrazó				101110111011
mujer,				1011101111000
adelante				1011101111001
campaña				101110111101
tras				101110111110
nosotros				101110111111
suelo,				1011110000000
forzoso				1011110000001
tierra.				101111000001
contó				1011110000100
caballeros,				1011110000101
estuvo				101111000011
nunca				1011110001000
pueden				1011110001001
finalmente,				101111000101
triste				101111000110
encaminar				101111000111
espíritu				1011110010000
hallar				1011110010001
